"candidate","rank","reference","score","phash_distance","sift_inliers","inlier_ratio","feature_coverage","structure_score","likely_duplicate"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU019.png","4","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU024.png","7.6017","34","0","0.0","0.0","0.0633","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU020.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU020.png","227.0","0","264","1.0","1.0","1.0","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU020.png","2","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU005.png","13.0193","22","4","0.5","0.0152","0.099","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU020.png","3","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU013.png","12.7053","26","4","1.0","0.0152","0.0914","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU020.png","4","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU024.png","11.2411","32","0","0.0","0.0","0.0937","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU021.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU021.png","227.0","0","439","1.0","1.0","1.0","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU021.png","2","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU009.png","15.4116","32","0","0.0","0.0","0.1284","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU021.png","3","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU013.png","13.0244","26","4","1.0","0.0091","0.0937","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU021.png","4","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU006.png","12.6902","36","1","0.0","0.0","0.1049","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU022.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU022.png","227.0","0","2500","1.0","1.0","1.0","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU022.png","2","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\contact_sheet.jpg","11.1126","30","23","0.3382","0.0092","0.075","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU022.png","3","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU002.png","10.3738","16","9","0.25","0.0036","0.0781","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU022.png","4","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU001.png","7.9892","20","5","0.1087","0.002","0.0631","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU023.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU023.png","227.0","0","2500","1.0","1.0","1.0","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU023.png","2","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\staged_cn_unique_20260716\CNU001.png","14.0189","24","7","0.1944","0.0028","0.1079","no"
